Date,Open,High,Low,Close,Adj Close
6/22/2018,2757.360107,2779.350098,2756.040039,2773.52002,2773.52002
6/25/2018,2765.330078,2765.330078,2719.449951,2720.030029,2720.030029
6/26/2018,2729.639893,2771.570068,2727.939941,2762.870117,2762.870117
6/27/2018,2770.399902,2780.590088,2749.469971,2751.370117,2751.370117
6/28/2018,2739.820068,2748.949951,2717.820068,2724.780029,2724.780029
6/29/2018,2736.27002,2750.23999,2735.26001,2748.47998,2748.47998
7/2/2018,2734.889893,2737.419922,2708.780029,2721.060059,2721.060059
7/3/2018,2744.47998,2760.030029,2732.110107,2743.679932,2743.679932
7/5/2018,2764.290039,2764.290039,2744.659912,2749.26001,2749.26001
7/6/2018,2745.75,2777.649902,2739.709961,2776.889893,2776.889893
7/9/2018,2783.820068,2790.379883,2769.77002,2771.699951,2771.699951
7/10/2018,2778.47998,2786.47998,2755.840088,2761.580078,2761.580078
7/11/2018,2765.840088,2767.939941,2720.669922,2728.790039,2728.790039
7/12/2018,2747,2747.600098,2722.179932,2738.280029,2738.280029
7/13/2018,2743.689941,2748.600098,2731.26001,2731.790039,2731.790039
7/16/2018,2722.969971,2726.669922,2705.22998,2713.149902,2713.149902
7/17/2018,2706.889893,2726.820068,2699.699951,2708.929932,2708.929932
7/18/2018,2707.350098,2721.77002,2694.73999,2718.530029,2718.530029
7/19/2018,2686.429932,2722.709961,2686.429932,2711.800049,2711.800049
7/20/2018,2719.709961,2727.949951,2703.919922,2708.610107,2708.610107
7/23/2018,2708.780029,2713.860107,2687.429932,2694.580078,2694.580078
7/24/2018,2693.580078,2713.659912,2691.850098,2697.419922,2697.419922
7/25/2018,2696.939941,2740.610107,2696.939941,2739.030029,2739.030029
7/26/2018,2744.790039,2768.98999,2729.73999,2766.860107,2766.860107
7/27/2018,2757.570068,2761,2726.110107,2729.199951,2729.199951
7/30/2018,2731.189941,2754.76001,2730.27002,2741.310059,2741.310059
7/31/2018,2742.98999,2758.870117,2739.379883,2749.129883,2749.129883
8/1/2018,2749.129883,2749.129883,2718.459961,2723.649902,2723.649902
8/2/2018,2715.530029,2723.76001,2696.590088,2717.810059,2717.810059
8/3/2018,2723.159912,2723.199951,2676.76001,2706.02002,2706.02002
8/6/2018,2703.919922,2727.590088,2703.540039,2708.780029,2708.780029
8/7/2018,2722.26001,2722.26001,2681.199951,2681.209961,2681.209961
8/8/2018,2678.439941,2678.439941,2659.139893,2663.060059,2663.060059
8/9/2018,2662.949951,2693.129883,2659.719971,2683.129883,2683.129883
8/10/2018,2672.72998,2673.73999,2659.370117,2667.419922,2667.419922
8/13/2018,2660.919922,2681.879883,2647.360107,2660.590088,2660.590088
8/14/2018,2670.26001,2687.149902,2667.939941,2673.330078,2673.330078
8/15/2018,2659.100098,2659.100098,2597.52002,2597.52002,2597.52002
8/16/2018,2605.639893,2618.679932,2597.949951,2599.25,2599.25
8/17/2018,2599.25,2611.22998,2593.780029,2606.719971,2606.719971
8/20/2018,2610.830078,2622.600098,2608.560059,2617.149902,2617.149902
8/21/2018,2621.27002,2642.899902,2621.27002,2628.320068,2628.320068
8/22/2018,2640.949951,2667.76001,2636.929932,2660.719971,2660.719971
8/23/2018,2650.429932,2658.139893,2635.969971,2639.439941,2639.439941
8/24/2018,2651.699951,2691.409912,2651.699951,2684.610107,2684.610107
8/27/2018,2689.310059,2712.01001,2689.310059,2700.429932,2700.429932
8/28/2018,2712.76001,2723.189941,2677.659912,2677.659912,2677.659912
8/29/2018,2690,2715.449951,2682.389893,2707.429932,2707.429932
8/30/2018,2701.639893,2710.209961,2679.719971,2688.340088,2688.340088
8/31/2018,2676.149902,2678.790039,2661.310059,2675.070068,2675.070068
9/4/2018,2666.399902,2673.73999,2652.02002,2654.310059,2654.310059
9/5/2018,2656.649902,2656.649902,2614.870117,2649.689941,2649.689941
9/6/2018,2649.860107,2655.379883,2619.540039,2625.719971,2625.719971
9/7/2018,2625.719971,2625.719971,2594.540039,2614.889893,2614.889893
9/10/2018,2615.850098,2627.060059,2585.459961,2587.129883,2587.129883
9/11/2018,2583.340088,2589.120117,2569.840088,2581.469971,2581.469971
9/12/2018,2581.469971,2614.909912,2581.469971,2608.300049,2608.300049
9/13/2018,2608.280029,2624.159912,2607.159912,2612.129883,2612.129883
9/14/2018,2611.860107,2628.030029,2605.399902,2612.840088,2612.840088
9/17/2018,2626.27002,2637.340088,2608.709961,2608.719971,2608.719971
9/18/2018,2617.360107,2644.649902,2617.360107,2643.909912,2643.909912
9/19/2018,2651.75,2663.820068,2646.449951,2654.139893,2654.139893
9/20/2018,2670.01001,2676.409912,2649.899902,2675.449951,2675.449951
9/21/2018,2683.639893,2691.47998,2672.469971,2687.75,2687.75
9/24/2018,2697.070068,2722.889893,2697.070068,2717.98999,2717.98999
9/25/2018,2720.27002,2738.439941,2713.429932,2714.02002,2714.02002
