Date,Close,Open,High,Low,Vol.,Change %
4/22/2024,63.19,63.04,63.63,62.48,9.96M,1.41%
4/19/2024,62.31,62,62.46,61.72,13.18M,0.34%
4/18/2024,62.1,63.85,64.03,61.95,9.24M,-1.83%
4/17/2024,63.26,63.78,63.97,62.58,8.00M,-0.27%
4/16/2024,63.43,62.99,64.21,62.92,9.91M,-0.13%
4/15/2024,63.51,65.06,65.47,63.25,11.01M,-1.67%
4/12/2024,64.59,65.38,65.97,64.16,9.93M,-1.84%
4/11/2024,65.8,65.85,66.38,64.68,8.79M,-0.12%
4/10/2024,65.88,65.12,66.19,65.05,8.57M,-1.67%
4/9/2024,67,66.95,67.26,66.39,8.46M,0.99%
4/8/2024,66.34,65.53,66.7,65.33,8.42M,1.83%
4/5/2024,65.15,64.7,65.47,64.06,8.06M,0.95%
4/4/2024,64.54,65.99,66.36,64.34,9.93M,-1.22%
4/3/2024,65.34,64.48,65.46,64.41,7.18M,1.05%
4/2/2024,64.66,63.95,64.84,63.55,10.33M,-0.57%
4/1/2024,65.03,67,67.36,65,9.84M,-2.93%
3/28/2024,66.99,66.87,67.72,66.43,10.78M,0.63%
3/27/2024,66.57,67.72,68.21,66.14,10.59M,-0.15%
3/26/2024,66.67,66.74,67.97,66.5,14.83M,1.02%
3/25/2024,66,64.8,66.39,64.8,10.22M,1.90%
3/22/2024,64.77,66.44,67.25,64.75,10.21M,-2.07%
3/21/2024,66.14,65.3,66.99,65.05,14.02M,1.68%
3/20/2024,65.05,63.58,65.36,63.12,12.64M,3.24%
3/19/2024,63.01,63.77,64.05,62.8,9.09M,-1.90%
3/18/2024,64.23,63.12,64.76,63.1,14.22M,2.20%
3/15/2024,62.85,62.6,63.83,62.43,20.04M,-0.24%
3/14/2024,63,62.51,64.2,62.21,19.34M,0.88%
3/13/2024,62.45,59.98,63.3,59.81,19.98M,4.03%
3/12/2024,60.03,59.8,60.47,59.3,13.49M,-0.08%
3/11/2024,60.08,59,60.22,58.94,11.17M,1.81%
3/8/2024,59.01,58.72,59.56,58.24,18.28M,0.87%
3/7/2024,58.5,58.46,59.06,57.95,19.45M,0.65%
3/6/2024,58.12,58.75,58.92,57.91,17.19M,-0.26%
3/5/2024,58.27,59.51,60.83,57.87,18.06M,-2.85%
3/4/2024,59.98,60.41,60.6,58.86,17.13M,-0.93%
3/1/2024,60.54,60.53,61.64,60.21,17.59M,0.33%
2/29/2024,60.34,60.6,61.87,60.01,17.12M,0.15%
2/28/2024,60.25,59.7,60.9,59.44,9.85M,0.15%
2/27/2024,60.16,59.57,60.24,59.44,11.47M,1.40%
2/26/2024,59.33,58.93,60.17,58.71,11.07M,0.29%
2/23/2024,59.16,58.85,59.43,58.23,13.36M,1.39%
2/22/2024,58.35,57.77,58.64,57.37,17.29M,1.51%
2/21/2024,57.48,58.08,58.45,57.15,13.42M,-1.96%
2/20/2024,58.63,58.23,59.03,58.19,12.40M,-0.86%
2/16/2024,59.14,58.86,59.75,58.45,12.20M,-0.94%
2/15/2024,59.7,58.86,60.24,58.06,13.32M,1.41%
2/14/2024,58.87,58.6,59.01,57.63,16.52M,1.05%
2/13/2024,58.26,57.88,58.73,57.86,19.54M,-3.05%
2/12/2024,60.09,58.61,60.62,58.42,21.77M,2.00%
2/9/2024,58.91,56.21,59.22,56.16,31.42M,4.95%
2/8/2024,56.13,57.98,58.59,55.77,68.27M,-11.24%
2/7/2024,63.24,64.54,64.9,62.85,33.21M,-0.74%
2/6/2024,63.71,62.03,63.73,61.62,17.56M,3.53%
2/5/2024,61.54,62,62.08,61.3,10.22M,-1.41%
2/2/2024,62.42,61.79,62.72,61,14.62M,0.64%
2/1/2024,62.02,61.51,62.06,60.64,13.45M,1.09%
1/31/2024,61.35,63,63.4,61.19,15.62M,-3.66%
1/30/2024,63.68,62.9,64.5,62.07,18.79M,-0.13%
1/29/2024,63.76,61.2,63.79,60.9,15.91M,3.20%
1/26/2024,61.78,60.32,62.27,60.01,18.43M,1.76%
1/25/2024,60.71,63.46,64.33,58.9,43.45M,-3.67%
1/24/2024,63.02,65.99,66,62.96,21.69M,-2.72%
1/23/2024,64.78,64.53,65.73,64.18,19.88M,1.63%
1/22/2024,63.74,68.02,68.21,63.22,44.01M,-3.16%
1/19/2024,65.82,63,66.21,62.26,38.26M,6.01%
1/18/2024,62.09,60.49,62.47,60.12,25.34M,3.67%
1/17/2024,59.89,57.42,59.98,56.47,29.53M,2.46%
1/16/2024,58.45,60.05,60.24,58.1,20.91M,-4.18%
1/12/2024,61,61.8,61.91,60.74,9.28M,-0.57%
1/11/2024,61.35,60.65,61.49,60.08,11.90M,0.64%
1/10/2024,60.96,60.95,61.43,60.29,10.14M,-0.15%
1/9/2024,61.05,60.28,62.02,60.12,14.88M,-1.12%
1/8/2024,61.74,60.4,61.92,60.06,14.26M,2.69%
1/5/2024,60.12,57.74,60.37,57.64,17.42M,2.86%
1/4/2024,58.45,58.02,59.06,57.44,16.68M,-0.31%
1/3/2024,58.63,60.7,60.75,58.35,21.25M,-4.60%
1/2/2024,61.46,61.22,62.16,60.43,15.25M,0.08%
12/29/2023,61.41,63,63.16,61.15,16.81M,-2.65%
12/28/2023,63.08,62.62,63.5,62.45,11.23M,0.64%
12/27/2023,62.68,62.67,62.83,62.11,11.11M,0.19%
12/26/2023,62.56,61.95,62.69,61.86,9.94M,1.16%
12/22/2023,61.84,62.17,62.73,61.58,13.18M,-0.35%
12/21/2023,62.06,62.21,62.45,61.59,12.20M,0.52%
12/20/2023,61.74,62.95,63.97,61.67,17.42M,-2.02%
12/19/2023,63.01,61.79,63.28,61.72,19.93M,2.51%
12/18/2023,61.47,61.42,61.73,60.85,13.80M,0.34%
12/15/2023,61.26,62.37,62.37,60.82,24.01M,-0.99%
12/14/2023,61.87,62.94,64.13,61.21,27.95M,0.23%
12/13/2023,61.73,58.73,61.89,58.54,19.13M,4.82%
12/12/2023,58.89,59.39,59.39,58.13,13.85M,-0.25%
12/11/2023,59.04,59.1,59.8,58.96,12.08M,0.17%
12/8/2023,58.94,58.26,59.74,57.4,15.47M,0.79%
12/7/2023,58.48,59.09,59.15,58.12,17.42M,-1.76%
12/6/2023,59.53,57.83,60.46,57.75,25.25M,2.78%
12/5/2023,57.92,59.31,59.47,57.32,21.51M,-3.22%
12/4/2023,59.85,59.43,60.38,59.24,14.11M,0.34%
12/1/2023,59.65,57.63,59.81,57.45,18.44M,3.54%
11/30/2023,57.61,58.05,58.1,57.05,19.04M,-0.62%
11/29/2023,57.97,59.23,60.2,57.91,19.26M,-0.86%
11/28/2023,58.47,56.47,58.7,56.13,23.96M,3.69%
11/27/2023,56.39,56,56.97,55.71,15.18M,1.13%
11/24/2023,55.76,56,56.13,55.55,6.85M,-1.03%
11/22/2023,56.34,55.79,56.74,55.62,11.46M,1.70%
11/21/2023,55.4,56.55,56.63,55.28,13.73M,-2.79%
11/20/2023,56.99,56.54,57.24,56.26,11.42M,0.80%
11/17/2023,56.54,56.87,56.96,56.35,12.15M,-0.49%
11/16/2023,56.82,57.96,58.27,56.55,12.75M,-2.45%
11/15/2023,58.25,57,58.56,56.99,15.22M,2.77%
11/14/2023,56.68,55.49,57.19,55.42,16.78M,4.21%
11/13/2023,54.39,54.44,54.72,53.98,11.86M,-0.69%
11/10/2023,54.77,54.34,54.83,53.87,9.69M,0.90%
11/9/2023,54.28,55.8,56.03,54.15,12.57M,-1.45%
11/8/2023,55.08,54.33,55.83,53.55,20.52M,0.82%
11/7/2023,54.63,54.44,55.04,54.05,13.04M,0.02%
11/6/2023,54.62,56.65,56.72,54.19,17.25M,-2.64%
11/3/2023,56.1,55.42,56.27,55.38,18.74M,1.89%
11/2/2023,55.06,55.05,55.43,52.55,35.35M,6.58%
11/1/2023,51.66,51.91,52.2,51.1,25.26M,-0.27%
10/31/2023,51.8,51.09,51.89,50.8,12.94M,1.47%
10/30/2023,51.05,50.95,51.44,50.58,13.17M,1.31%
10/27/2023,50.39,51.51,51.67,50.25,18.38M,-2.63%
10/26/2023,51.75,51.5,52.25,51.06,17.05M,0.50%
10/25/2023,51.49,52.55,52.78,51.23,22.78M,-5.07%
10/24/2023,54.24,53.88,54.61,53.59,9.73M,1.48%
10/23/2023,53.45,52.92,54.13,52.65,13.63M,0.11%
10/20/2023,53.39,53.99,54.47,53.34,20.98M,-2.59%
10/19/2023,54.81,55.66,56.4,54.7,16.30M,-1.77%
10/18/2023,55.8,56.53,57.1,55.71,10.51M,-2.38%
10/17/2023,57.16,56.51,57.59,56.49,10.33M,0.28%
10/16/2023,57,56.11,57.08,55.81,14.27M,2.24%
10/13/2023,55.75,56.5,56.88,55.53,12.06M,-1.07%
10/12/2023,56.35,58.09,58.1,56.24,13.50M,-2.95%
10/11/2023,58.07,58.11,58.89,57.58,10.87M,0.61%
10/10/2023,57.72,57.96,58.5,57.41,17.46M,-0.41%
10/9/2023,57.96,56.99,58.09,56.32,10.38M,0.33%
